Statistical profiling result from isolate-0x102001000-v8.log, (4900 ticks, 590 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     28    0.6%          /usr/lib/system/libsystem_platform.dylib
     13    0.3%          /usr/lib/system/libsystem_c.dylib
     11    0.2%          /usr/lib/system/libsystem_pthread.dylib
      2    0.0%          /usr/lib/system/libsystem_malloc.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    141    2.9%    2.9%  LazyCompile: *basePick /Users/leo/Workspace/git-metrics/node_modules/lodash/_basePick.js:13:18
     98    2.0%    2.0%  LazyCompile: *baseSet /Users/leo/Workspace/git-metrics/node_modules/lodash/_baseSet.js:17:17
     96    2.0%    2.0%  RegExp: ^\\w*$
     96    2.0%    2.0%  LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/_basePick.js:14:44
     87    1.8%    1.8%  Stub: RegExpExecStub
     83    1.7%    1.7%  LazyCompile: *exec native regexp.js:116:30
     52    1.1%    1.1%  Stub: CEntryStub
     41    0.8%    0.8%  LazyCompile: *test native regexp.js:260:28
     27    0.6%    0.6%  LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/knex/lib/helpers.js:55:44
     27    0.6%    0.6%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     25    0.5%    0.5%  Builtin: Call_ReceiverIsNotNullOrUndefined
     18    0.4%    0.4%  Builtin: ObjectHasOwnProperty
     17    0.3%    0.4%  LazyCompile: *flatten /Users/leo/Workspace/git-metrics/node_modules/lodash/flatten.js:17:17
     14    0.3%    0.3%  Stub: TypeofStub
     14    0.3%    0.3%  Stub: ToStringStub
     14    0.3%    0.3%  Builtin: ArrayIsArray
     13    0.3%    0.3%  Builtin: CallFunction_ReceiverIsAny
     13    0.3%    0.3%  Builtin: ArgumentsAdaptorTrampoline
     12    0.2%    0.2%  LazyCompile: *isObjectLike /Users/leo/Workspace/git-metrics/node_modules/lodash/isObjectLike.js:25:22
     10    0.2%    0.2%  Stub: LoadFieldStub
      9    0.2%    0.2%  Stub: LoadICTrampolineStub
      9    0.2%    0.2%  Stub: ArraySingleArgumentConstructorStub_FAST_HOLEY_ELEMENTS
      9    0.2%    0.2%  LazyCompile: *arrayMap /Users/leo/Workspace/git-metrics/node_modules/lodash/_arrayMap.js:10:18
      9    0.2%    0.2%  LazyCompile: *Object native v8natives.js:612:27
      9    0.2%    0.2%  Builtin: MathMax
      9    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      8    0.2%    0.2%  Stub: EqualStub
      7    0.1%    0.1%  Stub: GrowArrayElementsStub
      7    0.1%    0.1%  LazyCompile: *get native collection.js:239:16
      6    0.1%    0.1%  Stub: SubStringStub
      5    0.1%    0.1%  Stub: ToLengthStub
      5    0.1%    0.1%  Stub: RecordWriteStub {4}
      5    0.1%    0.1%  Stub: LoadICStub
      5    0.1%    0.1%  LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/pick.js:21:29
      5    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined
      4    0.1%    0.1%  Stub: VectorKeyedStoreICStub {1}
      4    0.1%    0.1%  Stub: StoreTransitionStub
      4    0.1%    0.1%  Stub: FastNewClosureStub {1}
      4    0.1%    0.1%  LazyCompile: *normalizeStringPosix path.js:78:30
      4    0.1%    0.1%  LazyCompile: *Module._load module.js:412:24
      4    0.1%    0.1%  Builtin: Call_ReceiverIsAny
      3    0.1%    0.1%  Stub: VectorKeyedStoreICTrampolineStub {1}
      3    0.1%    0.1%  Stub: LoadFieldStub {3}
      3    0.1%    0.1%  Stub: CallICStub(args(1), NOT_NULL_OR_UNDEFINED, 
      3    0.1%    0.1%  LazyCompile: *realpathSync fs.js:1606:40
      3    0.1%    0.1%  LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/src/api/services/change.js:31:36
      2    0.0%    0.0%  Stub: VectorKeyedStoreICTrampolineStub
      2    0.0%    0.0%  Stub: StringAddStub_ConvertRight_NotTenured
      2    0.0%    0.0%  Stub: RecordWriteStub {6}
      2    0.0%    0.0%  Stub: RecordWriteStub {2}
      2    0.0%    0.0%  Stub: NonNumberToNumberStub
      2    0.0%    0.0%  Stub: LoadFieldStub {2}
      2    0.0%    0.0%  Stub: LoadFieldStub {1}
      2    0.0%    0.0%  Stub: KeyedLoadICTrampolineStub
      2    0.0%    0.0%  Stub: FastNewClosureStub
      2    0.0%    0.0%  Stub: CompareICStub {2}
      2    0.0%    0.0%  Stub: CallICStub(args(5), ANY, 
      2    0.0%    0.0%  LazyCompile: ~resolve path.js:1131:28
